"Variable","PC1","PC2","PC3","PC4","PC5","PC6"
"n_proyectos",0.540269807932035,-0.176085132531023,-0.0676347236132939,-0.0885282099161915,-0.104274872895339,-0.0519568878223674
"H_cfg",0.414887774354555,-0.361989041269428,0.126804665228567,0.121481284033691,0.146511708169699,0.22731469735957
"J_cfg",-0.204983379649579,-0.259205679772244,0.289843758995843,0.281996207187456,0.389276546197814,0.404323627262038
"H_actor",0.514601153939453,-0.264734010479328,0.01428493966735,-0.100092799681662,0.0205962301019062,-0.0720261427635728
"J_actor",-0.154463435147961,-0.322610376752997,0.282503499683573,-0.0703817198172362,0.459952653144022,-0.0524713230487291
"ratio_media",0.301754378824778,0.446889355463811,0.101971431212645,0.125457243721317,0.102190747031358,0.10620235003473
"prop_estado_1",-0.266951792707827,-0.39453172963827,0.039171330461436,0.121659809871911,-0.421400316146687,-0.130559757860334
"prop_estado_4",0.121005782468296,0.413446412504178,0.241854619065498,0.359584935904538,-0.0221637633589519,0.299923882474556
"prop_estado_2",0.029211221102771,-0.0782285960777313,-0.232357788293337,-0.186477551340453,0.226479983702645,-0.0662922711517296
"prop_estado_3",-0.0527649174251112,0.200457149111241,-0.233646515248991,-0.476253442772839,0.490477771160548,0.000335952228424466
"prop_actor_1",-0.104254964224141,0.0309286382963786,0.264585307140477,-0.546604158181546,-0.283139317762397,0.439940961733161
"prop_actor_2",-0.0886703541045306,-0.0470490787898119,-0.595125853003394,0.390317987032348,0.141748208411695,0.0586553061324765
"prop_actor_3",-0.0340700020007043,0.127741845093629,0.417055272128689,0.0430283907220154,0.148902993693903,-0.576438519694867
"prop_actor_4",0.0692393858550297,0.0671903944648197,0.195453588738823,0.0922072895753522,0.0365736102603731,-0.349665761845952
