"Tipología CFG","N° Proyectos","Porcentaje (%)","% Acumulado","Ranking"
"MANEJO INTEGRAL DEL AGUA",54,27.27,27.27,1
"VIALIDAD",30,15.15,42.42,2
"VIVIENDA",21,10.61,53.03,3
"ELECTRICIDAD",19,9.6,62.63,4
"SALUD",14,7.07,69.7,5
"INFRAESTRUCTURA",12,6.06,75.76,6
"AMBIENTE",10,5.05,80.81,7
"EDUCACIÓN",9,4.55,85.36,8
"TRANSPORTE",7,3.54,88.9,9
"TELECOMUNICACIONES",6,3.03,91.93,10
"MUROS",5,2.53,94.46,11
"SOCIO PRODUCTIVO",4,2.02,96.48,12
"SEGURIDAD",3,1.52,98,13
"CANALIZACION",2,1.01,99.01,14
"ORGANIZACION COMUNAL",1,0.51,99.52,15
"PROCESOS INDUSTRIALES",1,0.51,100.03,16
