"var1","var2","correlation","Magnitud","Direccion"
"n_proyectos","H_actor",0.958340798951359,"Muy Fuerte","Positiva"
"H_actor","n_proyectos",0.958340798951359,"Muy Fuerte","Positiva"
"H_cfg","H_actor",0.791805648995408,"Fuerte","Positiva"
"H_actor","H_cfg",0.791805648995408,"Fuerte","Positiva"
"n_proyectos","H_cfg",0.745255622159155,"Fuerte","Positiva"
"H_cfg","n_proyectos",0.745255622159155,"Fuerte","Positiva"
"ratio_media","prop_estado_4",0.558347292795081,"Moderada","Positiva"
"prop_estado_4","ratio_media",0.558347292795081,"Moderada","Positiva"
"ratio_media","prop_estado_1",-0.544482492497946,"Moderada","Negativa"
"prop_estado_1","ratio_media",-0.544482492497946,"Moderada","Negativa"
