"Rank","Categoría Gobernación","N° Proy.","% Proy.","N° Com.","% Com.","Intensidad"
1,"AGUA POTABLE",28,14.14,26,13.54,1.08
2,"VIVIENDA",23,11.62,22,11.46,1.05
3,"ELECTRICIDAD",19,9.6,18,9.38,1.06
4,"VIALIDAD",18,9.09,17,8.85,1.06
5,"EQUIPAMIENTO SALUD",14,7.07,14,7.29,1
6,"AGUA RESIDUAL",13,6.57,12,6.25,1.08
7,"DRENAJES",13,6.57,13,6.77,1
8,"EQUIPAMIENTO EDUCATIVO",12,6.06,12,6.25,1
9,"CANALIZACION",10,5.05,10,5.21,1
10,"TRANSPORTE",8,4.04,8,4.17,1
11,"VIALIDAD AGRICOLA",8,4.04,8,4.17,1
12,"TELECOMUNICACIONES",6,3.03,6,3.12,1
13,"INFRAESTRUCTURA",5,2.53,5,2.6,1
14,"MUROS",5,2.53,5,2.6,1
15,"SOCIO PRODUCTIVO",4,2.02,4,2.08,1
16,"EQUIPAMIENTO SEGURIDAD",3,1.52,3,1.56,1
17,"PUENTE",3,1.52,3,1.56,1
18,"SISTEMAS DE RIEGO",3,1.52,3,1.56,1
19,"AGUA",1,0.51,1,0.52,1
20,"GAS",1,0.51,1,0.52,1
21,"ORGANIZACION COMUNAL",1,0.51,1,0.52,1
