"Categoría Gobernación","N° Comunas","Porcentaje (%)","% Acumulado","Ranking"
"AGUA POTABLE",26,13.54,13.54,1
"VIVIENDA",22,11.46,25,2
"ELECTRICIDAD",18,9.38,34.38,3
"VIALIDAD",17,8.85,43.23,4
"EQUIPAMIENTO SALUD",14,7.29,50.52,5
"DRENAJES",13,6.77,57.29,6
"AGUA RESIDUAL",12,6.25,63.54,7
"EQUIPAMIENTO EDUCATIVO",12,6.25,69.79,8
"CANALIZACION",10,5.21,75,9
"TRANSPORTE",8,4.17,79.17,10
"VIALIDAD AGRICOLA",8,4.17,83.34,11
"TELECOMUNICACIONES",6,3.12,86.46,12
"INFRAESTRUCTURA",5,2.6,89.06,13
"MUROS",5,2.6,91.66,14
"SOCIO PRODUCTIVO",4,2.08,93.74,15
"EQUIPAMIENTO SEGURIDAD",3,1.56,95.3,16
"PUENTE",3,1.56,96.86,17
"SISTEMAS DE RIEGO",3,1.56,98.42,18
"AGUA",1,0.52,98.94,19
"GAS",1,0.52,99.46,20
"ORGANIZACION COMUNAL",1,0.52,99.98,21
