"cluster","n_comunas","n_proyectos_mean","n_proyectos_sd","H_cfg_mean","H_cfg_sd","J_cfg_mean","J_cfg_sd","H_actor_mean","H_actor_sd","J_actor_mean","J_actor_sd","ratio_media_mean","ratio_media_sd"
1,20,2.95,0.223606797749979,0.962814503169377,0.213153582785134,0.979573958513622,0.0362980282545493,1.0783390332627,0.0906647544234156,1,5.0940525990875e-17,2.16666666666667,0.46516047661624
2,9,9,0,1.83102048111352,0,0.940958390089299,0,2.19722457733622,0,1,0,2.55555555555556,0
3,20,3.1,0.447213595499958,1.12415356985641,0.114224081938949,1,1.0188105198175e-16,1.12415356985641,0.114224081938949,1,1.0188105198175e-16,1.55666666666667,0.397227231800906
4,6,6,0,0.867563228481461,0,0.789690082142847,0,1.56071040904141,0,0.969723899868247,0,2.5,0
5,17,3.17647058823529,0.727606875108999,1.11220340985556,0.0560376282264261,0.99759693629572,0.00990808547783327,1.11220340985556,0.0560376282264261,0.99759693629572,0.00990808547783327,2.57843137254902,0.464420364012824
6,22,5.68181818181818,0.476731294622796,1.67073468474271,0.104825499821023,0.991742881782249,0.0138011272958571,1.63922799471726,0.0979048003733293,0.987614322673374,0.015236031995345,2.65,0.357349146771631
7,5,3,0,0.821353416444132,0.253101564309192,0.950977500432694,0.0447512147305014,0.913773040518791,0.253101564309192,0.967318333621796,0.0447512147305014,3.93333333333333,0.149071198499986
8,19,3,0,0.928365612741106,0.229013345965791,0.96989846517797,0.0404921457101144,1.04997038126039,0.145700354177887,0.99139956147942,0.0257614679463597,2.07017543859649,0.438557503140413
9,30,3,0,1.03699920595167,0.159768532199624,0.989106111207265,0.0282488806861268,1.09861228866811,0,1,0,2.51111111111111,0.485288027863071
10,24,3,0,1.09861228866811,0,1,0,1.09861228866811,0,1,0,1.72222222222222,0.424681371513737
